,speaker,Text,minutes,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
324,Don Cheadle,You all.,36.71666666666667,You all.,9,9_okay_asshole_im_youre,"['okay', 'asshole', 'im', 'youre', 'points', 'wise', 'sorry', 'whatever', 'work', 'say']","['Okay, so', ""I'm an asshole, is that what you're? "", ""So I'm an asshole, is that what you're trying to say?""]",okay - asshole - im - youre - points - wise - sorry - whatever - work - say,0.9942388711994714,False
325,Lacey Rose,"I didn't mean now, I meant.",36.71666666666667,"I didn't mean now, I meant.",5,5_wow_mm_sure_balls,"['wow', 'mm', 'sure', 'balls', 'truly', 'meant', 'worst', 'theyre', 'didnt', 'mean']","['Wow, wow.', 'Wow.', 'Oh, wow.']",wow - mm - sure - balls - truly - meant - worst - theyre - didnt - mean,0.6025311987821633,False
326,Jim Carrey,You're freaking me the fuck out.  Can we move on?,36.71666666666667,You're freaking me the fuck out.  Can we move on?,13,13_scares_worried_scared_nervous,"['scares', 'worried', 'scared', 'nervous', '57', 'cliffs', 'scaring', 'terrified', 'move', 'dangerous']","[""Well, maybe I'm kidding myself, but I always feel like, especially if you're saying something that's slightly dangerous, there's that cliffs of Acapulco moment."", 'I was worried about everything, about losing it, about not getting it, about not being good enough.', ""My biggest problem is overhead lighting. I'm 57, man, it scares the hell out of me.""]",scares - worried - scared - nervous - 57 - cliffs - scaring - terrified - move - dangerous,1.0,False
327,Don Cheadle,You look like a talking sponge.,36.833333333333336,You look like a talking sponge.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
328,Jim Carrey,"That's why this came up, isn't it?",36.93333333333333,"That's why this came up, isn't it?",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
329,Lacey Rose,"Yeah, yeah. For sure, sorry.",36.93333333333333,"Yeah, yeah. For sure, sorry.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
330,Don Cheadle,"No, it's, yeah, I think it's funny then because we are now, because we're here and we can see where it's headed and going, that's not gonna work out well for you. I know you think now that this is brilliant juice, but it's not gonna work out.",36.93333333333333,"No, it's, yeah, I think it's funny then because we are now, because we're here and we can see where it's headed and going, that's not gonna work out well for you. I know you think now that this is brilliant juice, but it's not gonna work out.",6,6_comedy_its_funny_joke,"['comedy', 'its', 'funny', 'joke', 'people', 'because', 'they', 'can', 'about', 'laugh']","[""And Colbert and they're attacking this subject in a comedic way, but I do believe that when it comes down to it and the wolf is at the door there ain't nothing funny about that. And if you give them a joke about it, that's fine. It heals in that moment, but it also is an out for the audience and for the enemy. And the enemy goes, is this a joke? I want people to know how serious I am about the threat that faces us, you know? And if I make it a joke, I can, that's part of it, but if I make it a joke it's not as serious"", ""Yeah, set your career on fire, no, they just push hard and I think they do it because you don't really know where the line is sometimes until you've stepped over it and you go, oh, that was the line, I guess we're over here now. But I think that the protection is always that the joke is always on the people that are saying the line, we're not making fun of the people that are the subject of it. It's that these people are so blind to, they have no self awareness that they are hilarious because they're trying to process this through their prism of blindness, and that's why they are hilarious, you know. They are the people who are the joke. Both of the writers are Jewish and they like to throw in some anti Semitic jokes."", ""Probably things I'd like to play I probably wouldn't be very good at playing, but I don't know, I think something that is, when I was at university, because obviously you're not in a box there, I would play in the amateur dramatic stuff I would play this genre that was called tragedy comedy which is something like Cyrano de Bergerac or even like Fiddler on the Roof. You have the character starts off as really funny, the audience love them, and in the second a tragedy happens and then because the audience love you and are engaged with you more because you've made them laugh they transition really quickly into getting sad and crying. So my eyesight's not very good and I remember playing Cyrano de Bergerac and I didn't know what these white, I'd see bits of white coming up. And I'd go, what are they? And they go, they were tissues. They were starting to cry. But it's a genre that you don't really see much anymore which obviously existed back then which is the idea of funny people who can then, because you've kind of got the audience by the kishkas you can then turn it around and get them crying. So I think something like that would be""]",comedy - its - funny - joke - people - because - they - can - about - laugh,0.8241339544226507,False
331,Jim Carrey,It drove the industry in the '70s.,37.166666666666664,It drove the industry in the '70s.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
332,Don Cheadle,Exactly.,37.166666666666664,Exactly.,11,11_totally_saying_no_thats,"['totally', 'saying', 'no', 'thats', 'understands', 'fair', 'nerve', 'validation', 'youre', 'right']","['Exactly.', 'Exactly.', 'Yeah, exactly.']",totally - saying - no - thats - understands - fair - nerve - validation - youre - right,1.0,True
333,Jim Carrey,And it was,37.266666666666666,And it was,0,0_was_of_show_said,"['was', 'of', 'show', 'said', 'at', 'years', 'like', 'know', 'he', 'entire']","[""I committed hubris. I thought not that I was great, but that it was such a big show and it was so international. It was everywhere. That I was going to go from mountaintop to mountaintop. I was going to beat the system. I looked down and there were grass stains on the knees of my jeans 'cause I slid right into the valley, it was very difficult to get hired as an actor, and I had no plan B. I was seven years old, I dreamt of doing this thing. I did it and I did it with an explosion. Now it's over and I had no idea how or what to do next."", ""And I'm in front, and I did a cartoon of myself tripping over the ottoman in front of the television, and those are the types of things that keep happening to me. I'm constantly being reminded, oh, I made it. Oh my gosh, that's wonderful. And the first time I think In Living Color was huge, was a huge thing for me and it was like they planted me, you know, my seedling in the garden and I had a chance to bloom on that show. So I got a taste of it there. And that time in Chicago when Siskel and Ebert hated my movie and then Friday happened and it was a giant hit, and the hotel staff where I was staying put a dog bowl in my room with candies in it."", ""Three days before it came out they had the words on a page. And I just looked and it said, the worst movie ever made. Worst actor ever made, this is the end. This is whatever. It was completely original. No one had seen it, so. It was so scathing. I've been disappointed so many times in my career I have an automatic downshift. I go, well, okay, don't know how it's gonna happen, but I'm gonna have to break a basement window or something. And what happened to my just absolute delight was that by the time I had done Truman Show Siskel and Ebert did an entire episode just about me and called it Jim Carrey, Clown With Class. And I get emotional thinking about that. It was incredible, like they just said, we were wrong. And I've never seen a critic say that. But of them said, we were wrong. We didn't know what we were seeing.""]",was - of - show - said - at - years - like - know - he - entire,0.7767692806525944,False
334,Don Cheadle,"I mean, I know people that were when I started, I'm not gonna say who in the show, but they were getting their per diem in coke.",37.266666666666666,"I mean, I know people that were when I started, I'm not gonna say who in the show, but they were getting their per diem in coke.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
335,Jim Carrey,Yeah.,37.38333333333333,Yeah.,1,1_yeah_ballsy_aw_huh,"['yeah', 'ballsy', 'aw', 'huh', 'man', 'hes', 'guys', 'over', 'look', 'you']","['Yeah, yeah.', 'Yeah.', 'Yeah.']",yeah - ballsy - aw - huh - man - hes - guys - over - look - you,1.0,True
336,Ted Danson,The prop truck was where you got your cocaine.,37.38333333333333,The prop truck was where you got your cocaine.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
337,Don Cheadle,"To go, of course.",37.38333333333333,"To go, of course.",2,2_route_out_go_escape,"['route', 'out', 'go', 'escape', 'board', 'theres', 'moon', 'dive', 'front', 'gotta']","[""And we find out they're at the escape route."", ""To a cabinet minister. And then we're working out how to get out of the hotel. And you know, we've got a back route. We always have escape routes, but then we find out"", 'They\'re at the escape route so we ended up going through the front door, the main entrance, and the guy with me, he said, ""If anyone comes towards you, I\'m going to stop them."" I go, ""What does that mean?"" And he goes, ""I\'m gonna stop \'em."" I go, ""Is that legal?"" He goes, ""yes,"" and he goes, ""you just have to get from here ""from the elevator to that car."" And so a lot of, 80% of what I do is this getting in and getting out.']",route - out - go - escape - board - theres - moon - dive - front - gotta,1.0,False
338,Lacey Rose,What?,37.38333333333333,What?,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
339,Don Cheadle,Absolutely.,37.38333333333333,Absolutely.,10,10_absolutely_bet_blank_halfway,"['absolutely', 'bet', 'blank', 'halfway', 'truthful', 'man', 'through', 'some', 'all', 'im']","['Absolutely.', 'Absolutely.', 'Absolutely.']",absolutely - bet - blank - halfway - truthful - man - through - some - all - im,1.0,True
340,Timothy Simons,"I'm not trying to be a square, but my God, I feel like I have 1/2 a glass of wine and I worry about call the next morning, like I'm such a loser.",37.38333333333333,"I'm not trying to be a square, but my God, I feel like I have 1/2 a glass of wine and I worry about call the next morning, like I'm such a loser.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
341,Don Cheadle,"It was just the culture of it, it was just like do it.",37.56666666666667,"It was just the culture of it, it was just like do it.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
342,Jim Carrey,"Well, you gotta be deep into the addiction to actually be able to handle it.",37.56666666666667,"Well, you gotta be deep into the addiction to actually be able to handle it.",3,3_people_do_be_mean,"['people', 'do', 'be', 'mean', 'think', 'im', 'when', 'like', 'thing', 'feel']","[""The thing that I think that I've sort of struggled with over the last couple years is like where I grew up. I grew up in a really small town. One of the things I didn't like about that is the fact that everybody kinda knows your business, and so when I was a kid all I wanted to do was get to a city and get to anonymity."", ""I think it's a balancing act for me, too. Cause careers, if you celebrate your career in the moment then it feels like you're slowing down. So you're always looking for what's next or what can I do better? Or one of these days, literally, I'm gonna be good. You know, that kind of thinking, you know, as opposed to celebrating, but you also don't wanna be a shmo and not go, thank you, thank you."", ""Than giving a selfie because selfies stop the world. You know, they stop life. You then go like that and it's going on Instagram to give people a false sense of relevance. I picture Steve Jobs sometimes. Everybody's so gaga about Steve Jobs. I picture him in hell running from demons who want a selfie. And that's something I have to kind of live with. Nothing to do with the person that comes up because they're programmed to react to celebrity that way. They don't even think of another way to react.""]",people - do - be - mean - think - im - when - like - thing - feel,0.9015391173447049,False
343,Timothy Simons,"Yeah, that's true. ",37.666666666666664,"Yeah, that's true. ",11,11_totally_saying_no_thats,"['totally', 'saying', 'no', 'thats', 'understands', 'fair', 'nerve', 'validation', 'youre', 'right']","['Exactly.', 'Exactly.', 'Yeah, exactly.']",totally - saying - no - thats - understands - fair - nerve - validation - youre - right,0.9820567910742093,False
344,Don Cheadle,"You'll get there, kids, you'll get there.",37.666666666666664,"You'll get there, kids, you'll get there.",2,2_route_out_go_escape,"['route', 'out', 'go', 'escape', 'board', 'theres', 'moon', 'dive', 'front', 'gotta']","[""And we find out they're at the escape route."", ""To a cabinet minister. And then we're working out how to get out of the hotel. And you know, we've got a back route. We always have escape routes, but then we find out"", 'They\'re at the escape route so we ended up going through the front door, the main entrance, and the guy with me, he said, ""If anyone comes towards you, I\'m going to stop them."" I go, ""What does that mean?"" And he goes, ""I\'m gonna stop \'em."" I go, ""Is that legal?"" He goes, ""yes,"" and he goes, ""you just have to get from here ""from the elevator to that car."" And so a lot of, 80% of what I do is this getting in and getting out.']",route - out - go - escape - board - theres - moon - dive - front - gotta,1.0,False
